"ZZOfoYear_ID[ZZOfoYear]","Value","Name","ZZMigrationCode","ZZOfoLevelType","IsSummary"
2022,"2021-223105",Traditional African Medicine Practitioner,301,,N
2022,"2021-223106",Traditional Chinese Medicine Practitioner,302,,N
2022,"2021-223107",Phytotherapist,303,,N
2022,"2021-224101",Paramedical Practitioner,304,,N
2022,"2021-224102",Sports Scientist,305,,N
2022,"2021-225101",Veterinarian,306,,N
2022,"2021-225102",Veterinary Public Health Professional / Practitioner,307,,N
2022,"2021-225103",Livestock Inspector,308,,N
2022,"2021-226101",Dental Specialist,309,,N
2022,"2021-226102",Dentist,310,,N
2022,"2021-226201",Hospital Pharmacist,311,,N
2022,"2021-226202",Industrial Pharmacist,312,,N
2022,"2021-226203",Retail Pharmacist,313,,N
2022,"2021-226204",Authorised Pharmacist Prescriber,314,,N
2022,"2021-226301",Environmental Health Officer,315,,N
2022,"2021-226302","Safety, Health, Environment and Quality (SHE&Q) Practitioner",316,,N
2022,"2021-226303",Ergonomist,317,,N
2022,"2021-226304",Food Inspector,318,,N
2022,"2021-226401",Physiotherapist,319,,N
2022,"2021-226501",Dietitian,320,,N
2022,"2021-226502",Nutritionist,321,,N
2022,"2021-226601",Audiologist,322,,N
2022,"2021-226602",Speech Pathologist,323,,N
2022,"2021-226603",Speech Therapist and Audiologist,324,,N
2022,"2021-226604",Hearing Aid Acousticians,325,,N
2022,"2021-226701",Optometrist,326,,N
2022,"2021-226702",Orthoptist,327,,N
2022,"2021-226901",Arts Therapist,328,,N
2022,"2021-226902",Occupational Therapist,329,,N
2022,"2021-226903",Podiatrist,330,,N
2022,"2021-226904",Diversional Therapist,331,,N
2022,"2021-226905",Biokineticist,332,,N
2022,"2021-226906",Rheumatologist,333,,N
2022,"2021-231101",University Lecturer,334,,N
2022,"2021-231102",University Tutor,335,,N
2022,"2021-232130",TVET Educator,336,,N
2022,"2021-232131",Adult Education Teacher,337,,N
2022,"2021-232132",College Lecturer,338,,N
2022,"2021-233107",FET Phase School Teacher (Grades 10-12),339,,N
2022,"2021-233108",Senior Phase School Teacher (Grades 7 - 9),340,,N
2022,"2021-234101",Foundation Phase School Teacher,341,,N
2022,"2021-234102",Intermediate Phase School Teacher (Grades 4-6),342,,N
2022,"2021-234201",Early Childhood Development Practitioner,343,,N
2022,"2021-235101",Education or Training Advisor,344,,N
2022,"2021-235102",Education or Training Reviewer,345,,N
2022,"2021-235201",Special Needs Teacher,346,,N
2022,"2021-235401",Private Tuition Music Teacher,347,,N
2022,"2021-235501",Private Tuition Art Teacher,348,,N
2022,"2021-235502",Private Tuition Dance Teacher,349,,N
2022,"2021-235503",Private Tuition Drama Teacher,350,,N
2022,"2021-235601",ICT Trainer,351,,N
2022,"2021-235901",Private Tuition Dressmaking Teacher,352,,N
2022,"2021-235902",Private Tuition Handicrafts Teacher,353,,N
2022,"2021-235903",School Laboratory Technician,354,,N
2022,"2021-235904",Examination Supervisor,355,,N
2022,"2021-241101",General Accountant,356,,N
2022,"2021-241102",Management Accountant,357,,N
2022,"2021-241103",Tax Professional,358,,N
2022,"2021-241104",External Auditor,359,,N
2022,"2021-241106",Accountant in Practice,360,,N
2022,"2021-241107",Financial Accountant,361,,N
2022,"2021-241108",Forensic Accountant,362,,N
2022,"2021-241201",Investment Analyst,363,,N
2022,"2021-241202",Investment Manager,364,,N
2022,"2021-241203",Investment Advisor,365,,N
2022,"2021-241204",Financial Markets Practitioner,366,,N
2022,"2021-241205",Professional Principal Executive Officer,367,,N
2022,"2021-241301",Financial Investment Advisor,368,,N
2022,"2021-242101",Management Consultant,369,,N
2022,"2021-242102",Organisation and Methods Analyst,370,,N
2022,"2021-242103",Business Development Officer,371,,N
2022,"2021-242104",AML Surveillance Analyst,372,,N
2022,"2021-242201",Intelligence Officer,373,,N
2022,"2021-242202",Policy Analyst,374,,N
2022,"2021-242203",Company Secretary,375,,N
2022,"2021-242204",Corporate Treasurer,376,,N
2022,"2021-242207",Compliance Officer,377,,N
2022,"2021-242208",Organisational Risk Manager,378,,N
2022,"2021-242209",Accounting Officer,379,,N
2022,"2021-242210",Business Administrator,380,,N
2022,"2021-242211",Internal Auditor,381,,N
2022,"2021-242212",Diplomat ,382,,N
2022,"2021-242213",Regulatory Affairs Officer,383,,N
2022,"2021-242214",Intellectual Property Special Advisor,384,,N
2022,"2021-242215",Fraud Examiner,385,,N
2022,"2021-242301",Career Development Practitioner,386,,N
2022,"2021-242302",Skills Development Practitioner,387,,N
2022,"2021-242303",Human Resource Advisor,388,,N
2022,"2021-242304",Industrial Relations Advisor,389,,N
2022,"2021-242305",Occupational Analyst,390,,N
2022,"2021-242306",Labour Market Analyst,391,,N
2022,"2021-242307",Recreation Officer,392,,N
2022,"2021-242401",Training and Development Professional,393,,N
2022,"2021-242402",Occupational Instructor ,394,,N
2022,"2021-242403",Assessment Practitioner,395,,N
2022,"2021-242404",Student Support Service Officer,396,,N
2022,"2021-243101",Advertising Specialist,397,,N
2022,"2021-243102",Market Research Analyst,398,,N
2022,"2021-243103",Marketing Practitioner,399,,N
2022,"2021-243104",Market Campaign Analyst,400,,N
2022,"2021-243201",Communication Coordinator,401,,N
2022,"2021-243202",Communication Strategist,402,,N
2022,"2021-243203",Corporate Communication Manager,403,,N
2022,"2021-243204",Event Producer,404,,N
2022,"2021-243301",Industrial Products Sales Representative ,405,,N
2022,"2021-243302",Medical and Pharmaceutical Products Sales Representative ,406,,N
2022,"2021-243303",Educational Products and Services Sales Representative ,407,,N
2022,"2021-243304",Printing and Publishing Equipment Sales Representative,408,,N
2022,"2021-243401",ICT Account Manager,409,,N
2022,"2021-243402",ICT Business Development Manager,410,,N
2022,"2021-243403",ICT Sales Representative,411,,N
2022,"2021-251101",ICT Systems Analyst,412,,N
2022,"2021-251102",Data Scientist ,413,,N
2022,"2021-251201",Software Developer,414,,N
2022,"2021-251202",Programmer Analyst,415,,N
2022,"2021-251203",Developer Programmer,416,,N
2022,"2021-251301",Multimedia Specialist,417,,N
2022,"2021-251302",Web Developer,418,,N
2022,"2021-251401",Applications Programmer,419,,N
2022,"2021-251901",Computers Quality Assurance Analyst,420,,N
2022,"2021-252101",Database Designer and Administrator,421,,N
2022,"2021-252201",Systems Administrator,422,,N
2022,"2021-252301",Computer Network and Systems Engineer,423,,N
2022,"2021-252302",Network Analyst,424,,N
2022,"2021-252303",`Transmission Engineer,425,,N
2022,"2021-252901",ICT Security Specialist,426,,N
2022,"2021-252902",Technical ICT Support Services Manager,427,,N
2022,"2021-261101",Attorney,428,,N
2022,"2021-261102",Administrative Lawyer,429,,N
2022,"2021-261103",Patent Attorney,430,,N
2022,"2021-261104",Trade Mark Attorney,431,,N
2022,"2021-261105",Tribunal Member,432,,N
2022,"2021-261106",Advocate,433,,N
2022,"2021-261107",Legal Manager,434,,N
2022,"2021-261201",Judge,435,,N
2022,"2021-261202",Magistrate,436,,N
2022,"2021-261901",Adjudicator,437,,N
2022,"2021-261902",Legislation Facilitator,438,,N
2022,"2021-261903",Master of The Court,439,,N
2022,"2021-261904",Family Court Registrar,440,,N
2022,"2021-261905",Notary,441,,N
2022,"2021-262101",Archivist,442,,N
2022,"2021-262102",Gallery or Museum Curator,443,,N
2022,"2021-262103",Conservator,444,,N
2022,"2021-262201",Librarian,445,,N
2022,"2021-262202",Information Services Manager,446,,N
2022,"2021-263101",Economist,447,,N
2022,"2021-263102",Economic Reasearch Manager,448,,N
2022,"2021-263201",Anthropologist,449,,N
2022,"2021-263202",Archaeologist,450,,N
2022,"2021-263203",Geographer,451,,N
2022,"2021-263204",Sociologist,452,,N
2022,"2021-263205",Criminologist,453,,N
2022,"2021-263206",Heritage Consultant,454,,N
2022,"2021-263301",Genealogist,455,,N
2022,"2021-263302",Historian,456,,N
2022,"2021-263303",Prehistorian,457,,N
2022,"2021-263304",Political Scientist,458,,N
2022,"2021-263401",Clinical Psychologist,459,,N
2022,"2021-263402",Educational Psychologist,460,,N
2022,"2021-263403",Organisational Psychologist,461,,N
2022,"2021-263404",Psychotherapist,462,,N
2022,"2021-263405",Research Psychologist,463,,N
2022,"2021-263406",Sport Psychologist,464,,N
2022,"2021-263407",Counselling Psychologist,465,,N
2022,"2021-263408",Community Psychologist,466,,N
2022,"2021-263409",Psychometrician,467,,N
2022,"2021-263501",Social Counselling Worker,468,,N
2022,"2021-263502",Addictions Counsellor,469,,N
2022,"2021-263503",Marriage and Family Counsellor,470,,N
2022,"2021-263504",Rehabilitation Counsellor,471,,N
2022,"2021-263505",Student Counsellor,472,,N
2022,"2021-263506",Probation Social Worker,473,,N
2022,"2021-263507",Adoption Social Worker,474,,N
2022,"2021-263508",Child and Youth Care Worker,475,,N
2022,"2021-263509",Parole Board Member,476,,N
2022,"2021-263510",Employee Wellness Practitioner,477,,N
2022,"2021-263511",Career Councillor,478,,N
2022,"2021-263512",Community Development Practitioner,479,,N
2022,"2021-263601",Minister of Religion,480,,N
2022,"2021-264101",Author,481,,N
2022,"2021-264102",Book or Script Editor,482,,N
2022,"2021-264103",Technical Writer,483,,N
2022,"2021-264201",Copywriter,484,,N
2022,"2021-264202", Editor,485,,N
2022,"2021-264203",Journalist,486,,N
2022,"2021-264204",Radio Journalist,487,,N
2022,"2021-264205",Content Presenter,488,,N
2022,"2021-264206",Critic,489,,N
2022,"2021-264301",Interpreter,490,,N
2022,"2021-264302",Translator,491,,N
2022,"2021-264303",Linguist,492,,N
2022,"2021-265101",Painter (Visual Arts),493,,N
2022,"2021-265102",Potter or Ceramic,494,,N
2022,"2021-265103",Sculptor,495,,N
2022,"2021-265104",Ephemeral Artist,496,,N
2022,"2021-265201",Composer,497,,N
2022,"2021-265202",Music Director,498,,N
2022,"2021-265203",Musician (Instrumental),499,,N
2022,"2021-265204",Singer,500,,N
2022,"2021-265205",Music Researcher,501,,N
2022,"2021-265206",Music Copyist,502,,N
2022,"2021-265301",Dancer or Choreographer,503,,N
2022,"2021-265401","Director (Film, Television, Radio or Stage)",504,,N
2022,"2021-265402",Director of Photography,505,,N
2022,"2021-265403",Film and Video Editor,506,,N
2022,"2021-265404",Program Director (Television or Radio),507,,N
2022,"2021-265405",Technical Director,508,,N
2022,"2021-265406",Video Producer,509,,N
2022,"2021-265407",Police Video Unit Manager and Producer,510,,N
2022,"2021-265408",Casting Director,511,,N
2022,"2021-265409",Film and Television Production Manager,512,,N
2022,"2021-265410",Radio or Television Programme Organiser,513,,N
2022,"2021-265411",Location Manager (Film or Television),514,,N
2022,"2021-265412",Media Producer,515,,N
2022,"2021-265501",Actor,516,,N
2022,"2021-265601",Radio Presenter,517,,N
2022,"2021-265602",Television Presenter,518,,N
2022,"2021-265901",Entertainer or Variety Artist,519,,N
2022,"2021-265902",Hypnotist,520,,N
2022,"2021-265903",Public Speaker,521,,N
2022,"2021-265904",Community Arts Worker,522,,N
2022,"2021-311101",Chemistry Technician,523,,N
2022,"2021-311102",Physical Science Technician,524,,N
2022,"2021-311103",Fragrance Evaluators/ flavourists,525,,N
2022,"2021-311104",Radiation Control/ Nuclear Monitoring Technician,526,,N
2022,"2021-311201",Civil Engineering Technician,527,,N
2022,"2021-311202",Surveying or Cartographic Technician,528,,N
2022,"2021-311203",Town Planning Technician,529,,N
2022,"2021-311217",Water Control Officer,530,,N
2022,"2021-311301",Electrical Engineering Technician,531,,N
2022,"2021-311302",Electric Substation Operations Manager,532,,N
2022,"2021-311303",Energy Efficiency Technician,533,,N
2022,"2021-311401",Electronic Engineering Technician,534,,N
2022,"2021-311501",Mechanical Engineering Technician,535,,N
2022,"2021-311502",Pressure Equipment  Inspector,536,,N
2022,"2021-311503",Aeronautical Engineering Technician,537,,N
2022,"2021-311601",Chemical Engineering Technician,538,,N
2022,"2021-311701",Mining Technician,539,,N
2022,"2021-311702",Metallurgical or Materials Technician,540,,N
2022,"2021-311703",Non-Destructive Testing Technician  (NDTT),541,,N
2022,"2021-311704",Geophysical Technician,542,,N
2022,"2021-311801",Draughtsperson,543,,N
2022,"2021-311901","Forensic Technician (Biology, Toxicology)",544,,N
2022,"2021-311902",Fire Investigator,545,,N
2022,"2021-311903",Food and Beverage Technician,546,,N
2022,"2021-311904",Manufacturing Technician,547,,N
2022,"2021-311905",Industrial Engineering Technician,548,,N
2022,"2021-311906",Environmental Engineering Technician,549,,N
2022,"2021-311910",Food Laboratory Analyst,550,,N
2022,"2021-312101",Mining Production Supervisor,551,,N
2022,"2021-312102",Miner,552,,N
2022,"2021-312103",Engineering Supervisor,553,,N
