"AD_Org_ID[Name]","ZZMigrationCode/K","IsActive","ZZSkillsProgrammeCode","ZZSkillsProgrammeTitle","ZZCredits","Registrationstartdate","Registrationenddate","ZZMinimumElectiveCredits","ZZIsOHS","ZZMigrateValues"
*,147,Y,MQA/SP/0073/09,Skills Programme: Small and Micro businesses in the diamond processing industry,26,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,0,N,ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1117;ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:1
*,148,Y,MQA/SP/0074/09,Skills Programme: Rough Sorting of Diamond Gemstones,45,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,0,N,ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1117;ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:1
*,149,Y,MQA/SP/0075/09,Skills Programme: Rough Evaluation of Diamond Gemstones,50,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,0,N,ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1117;ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:1
*,150,Y,MQA/SP/0076/09,Skills Programmes: Laser cutting of diamond gemstones,90,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,45,N,ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1117;ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:1
*,151,Y,MQA/SP/0077/09,Skills Programme: Introduction to the Diamond Processing Industry,23,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,0,N,ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1117;ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:1
*,152,Y,MQA/SP/0078/09,Skills Programme: Diamond Trading,80,2009-06-29 00:00:00.000,2015-06-30 00:00:00.000,0,N,ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:1
*,153,Y,MQA/SP/0079/09,Skills Programme: Blasting Assistant in Surface Mines and Quarries,12,2009-06-29 00:00:00.000,2012-12-30 00:00:00.000,0,N,ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:1
*,154,Y,MQA/SP/0080/09,"Skills Programme: Competent Person A - The examination, making safe and declaring safe of surface mines, quarries, dumps and stockpile",45,2009-06-30 00:00:00.000,2012-12-30 00:00:00.000,23,N,ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:1
*,155,Y,MQA/SP/0088/09,Skills Programme in Crushing (Version 2),23,2018-07-01 00:00:00.000,2024-06-30 00:00:00.000,2,N,ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:1
*,156,Y,MQA/SP/0082/09,Skills Programme: The control of explosives magazines on surface excavation and quaries,0,2009-06-30 00:00:00.000,2012-12-30 00:00:00.000,31,N,ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:1
*,157,Y,MQA/SP/0081/09,"Skills Programme: Competent B- The installation, maintenance and removal of support units in Surface Mines and Quarries",0,2009-06-30 00:00:00.000,2012-12-30 00:00:00.000,21,N,ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:1
*,158,Y,MQA/SP/0029/09,Skills Programmes: Ore Reception,8,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,0,N,ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1258;ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:1
*,159,Y,MQA/SP/0107/09,Skills Programme: Dense Medium Separation (Version 2),16,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,0,N,ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1258;ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:1
*,160,Y,MQA/SP/0089/09,Skills Programme: Scrubbing and Screening (Version 2),13,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,2,N,ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1258;ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:1
*,161,Y,MQA/SP/0109/09,Skills Programme: Thickening of a Slurry (Version3),12,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,2,N,ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1258;ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:1
*,162,Y,MQA/SP/0110/09,Skills Programme:  Adsorption of Gold onto activated carbon (Version 2),32,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,16,N,ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1258;ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:1
*,163,Y,MQA/SP/0011/09,Skills Programme: Handling of Chemicals (Version 2),57,2015-07-01 00:00:00.000,2018-05-16 00:00:00.000,11,N,ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:1
*,164,Y,MQA/SP/0052/09,Skills Programme in Milling of Material (Version 2),18,2018-07-01 00:00:00.000,2025-03-31 00:00:00.000,0,N,ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1258;ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:1
*,165,Y,MQA/SP/0053/09,Skills Programme: Slimes Reclamation,13,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,4,N,ref:ZZLkpSkillsProgrammeType:ZZSkillsProgrammeType:1
