"AD_Org_ID[Name]","ZZMigrationCode/K","IsActive","ZZGrantName","ZZGrantDescription","ZZGrantPercentage","ZZPayable","ZZMinimumAmount","ZZMigrateValues"
*,249,Y,OHS PROGRAMME,OHS,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:18;C_Year:C_Year_ID:20
*,250,Y,UIF LEARNERSHIPS,UIF,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:19;C_Year:C_Year_ID:20
*,251,Y,EMPLOYED ARTISAN,ART,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:20;C_Year:C_Year_ID:20
*,252,Y,UNEMPLOYED ARTISAN,UART,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:21;C_Year:C_Year_ID:20
*,253,Y,ARTISAN AIDES,ARTA,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:22;C_Year:C_Year_ID:20
*,254,Y,ABET Module Based,ABTM,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:23;C_Year:C_Year_ID:20
*,255,Y,Jewellery Beneficiation Learnership,MBL,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:26;C_Year:C_Year_ID:20
*,256,Y,Jewellery Beneficiation Skills Programs,MBSA,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:27;C_Year:C_Year_ID:20
*,257,Y,RPL Learnerships,RPL,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:28;C_Year:C_Year_ID:20
*,258,Y,GETC NQF1 5827,ABTG,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:29;C_Year:C_Year_ID:20
*,259,Y,FLC,FLC,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:31;C_Year:C_Year_ID:20
*,260,Y,NAC,NAC,100.00,Y,0.00,ZZLkpGrantCode:ZZLkpGrantCode_ID:32;C_Year:C_Year_ID:20
