"AD_Org_ID[Name]","ZZModuleCode","ZZModuleTitle","ZZQualityAssuranceBody","ZZCredits","Registrationstartdate","Registrationenddate","ZZLastEnrolmentDate","ZZLastAchievementDate","IsActive","ZZMigrationCode/K",_LOG_
*,OUT404.1,Electrical Metalliferous,,250,2015-07-01 00:00:00.000,2018-06-30 00:00:00.000,2018-06-30 00:00:00.000,1900-01-01 00:00:00.000,Y,3331,"<ZZModule>: Inserted GenericPO[Table=1000262ID=0] / <ZZModule>: Inserted GenericPO[Table=1000262ID=0] / "
*,OUT3134,Electrical Underground Diamonds,,120,2016-01-01 00:00:00.000,2020-12-31 00:00:00.000,2020-12-31 00:00:00.000,1900-01-01 00:00:00.000,Y,3332,"<ZZModule>: Inserted GenericPO[Table=1000262ID=0] / <ZZModule>: Inserted GenericPO[Table=1000262ID=0] / "
*,OUT3494,Electrical Underground Coal,,120,2016-01-01 00:00:00.000,2020-12-31 00:00:00.000,2020-12-31 00:00:00.000,1900-01-01 00:00:00.000,Y,3333,"<ZZModule>: Inserted GenericPO[Table=1000262ID=0] / <ZZModule>: Inserted GenericPO[Table=1000262ID=0] / "
*,OUT3444,Electrical Surface Coal,,120,2016-01-01 00:00:00.000,2020-12-31 00:00:00.000,2020-12-31 00:00:00.000,1900-01-01 00:00:00.000,Y,3334,"<ZZModule>: Inserted GenericPO[Table=1000262ID=0] / <ZZModule>: Inserted GenericPO[Table=1000262ID=0] / "
*,OUT3294,Electrical Opencast,,120,2016-01-01 00:00:00.000,2020-12-31 00:00:00.000,2020-12-31 00:00:00.000,1900-01-01 00:00:00.000,Y,3335,"<ZZModule>: Inserted GenericPO[Table=1000262ID=0] / <ZZModule>: Inserted GenericPO[Table=1000262ID=0] / "
*,OUT3014,Electrical Surface Diamonds,,120,2016-01-01 00:00:00.000,2020-12-31 00:00:00.000,2020-12-31 00:00:00.000,1900-01-01 00:00:00.000,Y,3336,"<ZZModule>: Inserted GenericPO[Table=1000262ID=0] / <ZZModule>: Inserted GenericPO[Table=1000262ID=0] / "
*,OUT1493,Diesel Mechanic Metalliferous,,150,2016-01-01 00:00:00.000,2020-12-31 00:00:00.000,2020-12-31 00:00:00.000,1900-01-01 00:00:00.000,Y,3337,"<ZZModule>: Inserted GenericPO[Table=1000262ID=0] / <ZZModule>: Inserted GenericPO[Table=1000262ID=0] / "
*,OUT1623,Diesel Mechanic Coal,,0,2016-01-01 00:00:00.000,2020-12-31 00:00:00.000,2020-12-31 00:00:00.000,1900-01-01 00:00:00.000,Y,3338,"<ZZModule>: Inserted GenericPO[Table=1000262ID=0] / <ZZModule>: Inserted GenericPO[Table=1000262ID=0] / "
*,OUT1303,Diesel Mechanic Underground Diamonds,,0,2016-01-01 00:00:00.000,2020-12-31 00:00:00.000,2020-12-31 00:00:00.000,1900-01-01 00:00:00.000,Y,3339,"<ZZModule>: Inserted GenericPO[Table=1000262ID=0] / <ZZModule>: Inserted GenericPO[Table=1000262ID=0] / "
*,OUT1373,Diesel Mechanic Surface Diamonds,,150,2016-01-01 00:00:00.000,2020-12-31 00:00:00.000,2020-12-31 00:00:00.000,1900-01-01 00:00:00.000,Y,3340,"<ZZModule>: Inserted GenericPO[Table=1000262ID=0] / <ZZModule>: Inserted GenericPO[Table=1000262ID=0] / "
*,OUT1463,Diesel Mechanic Open Cast,,150,2016-01-01 00:00:00.000,2020-12-31 00:00:00.000,2020-12-31 00:00:00.000,1900-01-01 00:00:00.000,Y,3341,"<ZZModule>: Inserted GenericPO[Table=1000262ID=0] / <ZZModule>: Inserted GenericPO[Table=1000262ID=0] / "
*,OUT4094,Millwright Coal,,150,2016-01-01 00:00:00.000,2020-12-31 00:00:00.000,2020-12-31 00:00:00.000,1900-01-01 00:00:00.000,Y,3342,"<ZZModule>: Inserted GenericPO[Table=1000262ID=0] / <ZZModule>: Inserted GenericPO[Table=1000262ID=0] / "
