"AD_Org_ID[Name]","ZZMigrationCode/K","IsActive","ZZUnitStandardType","ZZMigrateValues",_LOG_
*,63,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:4;ZZUnitStandard:ZZUnitStandard_id:983,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000062] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000062] / "
*,64,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:4;ZZUnitStandard:ZZUnitStandard_id:1080,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000063] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000063] / "
*,65,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:4;ZZUnitStandard:ZZUnitStandard_id:1139,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000064] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000064] / "
*,66,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:4;ZZUnitStandard:ZZUnitStandard_id:433,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000065] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000065] / "
*,67,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:4;ZZUnitStandard:ZZUnitStandard_id:761,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000066] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000066] / "
*,68,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:4;ZZUnitStandard:ZZUnitStandard_id:1668,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000067] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000067] / "
*,69,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:4;ZZUnitStandard:ZZUnitStandard_id:1076,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000068] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000068] / "
*,70,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:4;ZZUnitStandard:ZZUnitStandard_id:1078,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000069] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000069] / "
*,71,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:4;ZZUnitStandard:ZZUnitStandard_id:1077,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000070] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000070] / "
*,72,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:4;ZZUnitStandard:ZZUnitStandard_id:1604,"<ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000071] / <ZZSkillsProgrammeUnitStandard>: Inserted GenericPO[Table=1000266ID=1000071] / "
