"AD_Reference_ID[Name]/K","value","name","Description/K","EntityType","IsActive"
ZZLkpTerminationReason,Learner absconded,Learner absconded,1,MQA Learner,Y
ZZLkpTerminationReason,Learner got permanent employment somewhere else,Learner got permanent employment somewhere else,6,MQA Learner,Y
ZZLkpTerminationReason,Learner no longer working for the company,Learner no longer working for the company,5,MQA Learner,Y
ZZLkpTerminationReason,Learner passed away,Learner passed away,4,MQA Learner,Y
ZZLkpTerminationReason,Learner resigned,Learner resigned,3,MQA Learner,Y
ZZLkpTerminationReason,Learner to continue with full time studies/went back to school,Learner to continue with full time studies/went back to school,7,MQA Learner,Y
ZZLkpTerminationReason,Learner went AWOL,Learner went AWOL,2,MQA Learner,Y
ZZLkpTerminationReason,Other,Other,8,MQA Learner,Y
ZZLkpUnitStandardType,Compulsory Elective,Compulsory Elective,4,MQA Learner,Y
ZZLkpUnitStandardType,Core,Core,1,MQA Learner,Y
ZZLkpUnitStandardType,Elective,Elective,3,MQA Learner,Y
ZZLkpUnitStandardType,Fundamental,Fundamental,2,MQA Learner,Y
