"AD_Org_ID[Name]","ZZMigrationCode/K","IsActive","ZZUnitStandardType","ZZMigrateValues"
*,152,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:12;ZZUnitStandard:ZZUnitStandard_id:736
*,153,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:12;ZZUnitStandard:ZZUnitStandard_id:212
*,154,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:12;ZZUnitStandard:ZZUnitStandard_id:213
*,155,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:13;ZZUnitStandard:ZZUnitStandard_id:912
*,156,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:13;ZZUnitStandard:ZZUnitStandard_id:913
*,157,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:13;ZZUnitStandard:ZZUnitStandard_id:921
*,158,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:13;ZZUnitStandard:ZZUnitStandard_id:914
*,159,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:13;ZZUnitStandard:ZZUnitStandard_id:915
*,160,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:13;ZZUnitStandard:ZZUnitStandard_id:916
*,161,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:13;ZZUnitStandard:ZZUnitStandard_id:917
*,162,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:13;ZZUnitStandard:ZZUnitStandard_id:985
*,163,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:14;ZZUnitStandard:ZZUnitStandard_id:581
*,164,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:14;ZZUnitStandard:ZZUnitStandard_id:582
*,165,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:14;ZZUnitStandard:ZZUnitStandard_id:585
*,166,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:14;ZZUnitStandard:ZZUnitStandard_id:584
*,167,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:14;ZZUnitStandard:ZZUnitStandard_id:746
*,168,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:14;ZZUnitStandard:ZZUnitStandard_id:744
*,169,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:14;ZZUnitStandard:ZZUnitStandard_id:745
*,170,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:14;ZZUnitStandard:ZZUnitStandard_id:82
*,171,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:14;ZZUnitStandard:ZZUnitStandard_id:1299
*,172,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:14;ZZUnitStandard:ZZUnitStandard_id:1300
*,173,Y,Core,ZZSkillsProgramme:ZZSkillsProgramme_ID:14;ZZUnitStandard:ZZUnitStandard_id:1301
*,174,Y,Elective,ZZSkillsProgramme:ZZSkillsProgramme_ID:14;ZZUnitStandard:ZZUnitStandard_id:542
