"AD_Org_ID[Name]","ZZQctoLearnership_ID[ZZLearnershipCode]","ZZQCTOModule_ID[ZZModuleCode]","ZZModuleType","IsActive","ZZMigrationCode/K"
*,"32Q320005425594","651501-000-00-00-PM-01",Core,Y,352
*,"32Q320005425594","651501-000-00-00-PM-02",Core,Y,353
*,"32Q320005425594","651501-000-00-00-PM-03",Core,Y,354
*,"32Q320005425594","651501-000-00-00-PM-04",Core,Y,355
*,"32Q320005425594","651501-000-00-00-PM-05",Core,Y,356
*,"32Q320005425594","651501-000-00-00-PM-06",Core,Y,357
*,"32Q320005425594","651501-000-00-00-PM-07",Core,Y,358
*,"32Q320005425594","651501-000-00-00-PM-08",Core,Y,359
*,"32Q320005425594","651501-000-00-00-PM-09",Core,Y,360
*,"32Q320005425594","651501-000-00-00-PM-10",Core,Y,361
*,"32Q320005425594","651501-000-00-00-PM-11",Core,Y,362
*,"32Q320005425594","651501-000-00-00-PM-12",Core,Y,363
*,"32Q320005425594","651501-000-00-00-PM-13",Core,Y,364
*,"32Q320005425594","651501-000-00-00-PM-14",Core,Y,365
*,"32Q320005425594","651501-000-00-00-PM-15",Core,Y,366
*,"16Q97388","671208001-KM-01",Core,Y,314
*,"16Q97388","671208001-KM-02",Core,Y,315
*,"16Q97388","671208001-KM-03",Core,Y,316
*,"16Q97388","671208001-KM-04",Core,Y,317
*,"16Q97388","671208001-KM-05",Core,Y,318
*,"16Q97388","671208001-KM-06",Core,Y,319
*,"16Q97388","671208001-KM-07",Core,Y,320
*,"16Q97388","671208001-KM-08",Core,Y,321
*,"16Q97388","671208001-KM-09",Core,Y,322
*,"16Q97388","671208001-KM-10",Core,Y,323
*,"16Q97388","671208001-KM-11",Core,Y,324
*,"16Q97388","671208001-KM-12",Core,Y,325
*,"16Q97388","671208001-PM-01",Core,Y,326
*,"16Q97388","671208001-PM-02",Core,Y,327
*,"16Q97388","671208001-PM-03",Core,Y,328
*,"16Q97388","671208001-PM-04",Core,Y,329
*,"16Q97388","671208001-PM-05",Core,Y,330
*,"16Q97388","671208001-PM-06",Core,Y,331
*,"16Q97388","671208001-PM-07",Core,Y,332
*,"16Q97388","671208001-PM-08",Core,Y,333
*,"16Q97388","671208001-WM-01",Core,Y,334
*,"16Q97388","671208001-WM-02",Core,Y,335
*,"16Q97388","671208001-WM-03",Core,Y,336
*,"32Q320005425594","651501-000-00-00-WM-06",Core,Y,367
*,"32Q320005425594","651501-000-00-00-WM-08",Core,Y,368
*,"32Q320005425594","651501-000-00-00-WM-10",Core,Y,369
*,"32Q320005425594","651501-000-00-00-WM-11",Core,Y,370
*,"32Q320005425594","651501-000-00-00-WM-01",Core,Y,371
*,"32Q320005425594","651501-000-00-00-WM-02",Core,Y,372
*,"32Q320005425594","651501-000-00-00-WM-03",Core,Y,373
*,"32Q320005425594","651501-000-00-00-WM-04",Core,Y,374
*,"16Q160170001373","311701003-KM-01",Core,Y,376
*,"16Q160170001373","311701003-KM-02",Core,Y,377
*,"16Q160170001373","311701003-KM-03",Core,Y,378
*,"16Q160170001373","311701003-KM-04",Core,Y,379
*,"16Q160170001373","311701003-PM-01",Core,Y,380
*,"16Q160170001373","311701003-PM-02",Core,Y,381
*,"16Q160170001373","311701003-PM-03",Core,Y,382
*,"16Q160170001373","311701003-WM-01",Core,Y,383
*,"16Q160170001373","311701003-WM-02",Core,Y,384
*,"16Q160191002144","311701004-KM-01",Core,Y,385
*,"16Q160191002144","311701004-KM-02",Core,Y,386
*,"16Q160191002144","311701004-KM-03",Core,Y,387
*,"16Q160191002144","311701004-KM-04",Core,Y,388
*,"16Q160191002144","311701004-KM-05",Core,Y,389
*,"16Q160191002144","311701004-PM-01",Core,Y,390
*,"16Q160191002144","311701004-PM-02",Core,Y,391
*,"16Q160191002144","311701004-PM-03",Core,Y,392
*,"16Q160191002144","311701004-PM-04",Core,Y,393
*,"16Q160191002144","311701004-PM-05",Core,Y,394
*,"16Q160191002144","311701004-PM-06",Core,Y,395
*,"16Q160191002144","311701004-PM-07",Core,Y,396
*,"16Q160191002144","311701004-WM-01",Core,Y,397
