"AD_Org_ID[Name]","ZZMigrationCode/K","IsActive","ZZLearnershipTitle","ZZLearnershipCode","ZZCredits","Registrationstartdate","Registrationenddate","ZZMinimumElectiveCredits","ZZMigrateValues"
*,200,Y,National Certificate: Fitting (including machining) : Metalliferous,"16Q160026002443 (V2)",152,2003-02-06 00:00:00.000,2003-02-06 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ZZQualification:ZZQualification_ID:4;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1102
*,201,Y,National Certificate: Fitting (including machining) : Open Cast,"16Q160053001463 (V2)",111,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ZZQualification:ZZQualification_ID:4;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1102
*,202,Y,National Certificate: Fitting (including machining) : Surface Coal,"16Q160025001283 (V2)",134,2003-02-06 00:00:00.000,2003-02-06 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ZZQualification:ZZQualification_ID:4;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1102
*,203,Y,National Certificate: Fitting (including machining) : Surface Diamonds,"16Q160027001203 (V2)",119,2003-02-06 00:00:00.000,2003-02-06 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ZZQualification:ZZQualification_ID:4;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1102
*,204,Y,National Certificate: Fitting (including machining) : Underground Coal,"16Q160024001533 (V2)",144,2003-02-06 00:00:00.000,2003-02-06 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ZZQualification:ZZQualification_ID:4;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1102
*,205,Y,National Certificate: Fitting (including machining) : Underground Daimonds,"16Q160023001273 (V2)",140,2003-02-06 00:00:00.000,2003-02-06 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ZZQualification:ZZQualification_ID:4;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1102
*,206,Y,National Certificate: Fitting and Turning: Metalliferous,"16Q160035002763 (V2)",184,2003-02-06 00:00:00.000,2003-02-06 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ZZQualification:ZZQualification_ID:3;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1090
*,207,Y,National Certificate: Fitting and Turning: Open Cast,"16Q160054001463 (V2)",146,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ZZQualification:ZZQualification_ID:3;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1090
*,208,Y,National Certificate: Fitting and Turning: Surface Coal,"16Q160034001463 (V2)",163,2003-02-06 00:00:00.000,2003-02-06 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ZZQualification:ZZQualification_ID:3;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1090
*,209,Y,National Certificate: Fitting and Turning: Surface Diamonds,"16Q160036001403 (V2)",152,2003-02-06 00:00:00.000,2003-02-06 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ZZQualification:ZZQualification_ID:3;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1090
*,210,Y,National Certificate: Fitting and Turning: Underground Coal,"16Q160033001853 (V2)",177,2003-02-06 00:00:00.000,2003-02-06 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ZZQualification:ZZQualification_ID:3;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1090
*,211,Y,National Certificate: Fitting and Turning: Underground Diamonds,"16Q160032001593 (V2)",172,2003-02-06 00:00:00.000,2003-02-06 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:3;ZZQualification:ZZQualification_ID:3;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1090
*,212,Y,National Certificate: Millwright: Coal,"16Q160029004094 (V2)",378,2003-02-06 00:00:00.000,2003-02-06 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ZZQualification:ZZQualification_ID:92;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1167
*,213,Y,National Certificate: Millwright: Metalliferous,"16Q160030004444 (V2)",386,2003-02-06 00:00:00.000,2003-02-06 00:00:00.000,0,ref:ZZLkpNqfLevel:ZZNqfLevel:4;ZZQualification:ZZQualification_ID:92;ZZLkpOfoOccupationTree:ZZLkpOfoOccupationTree_ID:1167
