"AD_Org_ID[Name]","ZZSkillsProgrammeCode","ZZSkillsProgrammeTitle","ZZNqfLevel","ZZCredits","Registrationstartdate","Registrationenddate","ZZQualityAssuranceBody","ZZSkillsProgrammeType","ZZQualification_ID[ZZSaqaQualificationCode]","ZZAETLevel","ZZMinimumElectiveCredits","ZZSkillsProgrammeGrantType","ZZIsOHS","IsActive","ZZMigrationCode/K","ZZMigrateValues"
*,MQA/SP/0089/09 A,SKILLS PROGRAM IN SCRUBBING AND SCREENING,,17,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,,Standalone,,,0,,N,Y,287,
*,MQA/SP/0089/09 B,SKILLS PROGRAM IN SCRUBBING AND SCREENING,,13,2018-07-01 00:00:00.000,2025-06-30 23:59:59.000,,Standalone,,,0,,N,Y,288,
*,MQA/SP/0089/09 C,SKILLS PROGRAM IN SCRUBBING AND SCREENING,,13,2018-07-01 00:00:00.000,2025-06-30 23:59:59.000,,Standalone,,,0,,N,Y,289,
*,MQA/SP/0126/10,Skills Programme: Gases and Gas Testing in Underground Fiery (Coal) Mines,,35,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,,Standalone,,,0,,Y,Y,290,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1256
*,MQA/SP/0127/10,Skills Programme: Flameproofing in Underground Fiery (Coal) Mines,,18,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,,Standalone,,,0,,Y,Y,291,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1256
*,"67429",National Certificate: Electrical Engineering: Mining and Minerals,"2",140,2009-02-18 00:00:00.000,2015-06-30 00:00:00.000,,Leads to a Qualification,"67429",,0,,N,Y,292,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1165
*,MQA/SP/0128/10,"Skills Programme: Transportation of persons, material and minerals to and from the underground workings by means of a shaft/ ONSETTER",,29,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,,Standalone,,,0,,Y,Y,293,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1396
*,MQA/SP/0129/11,Skills Programme: Generic Engineering,,39,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,,Standalone,,,1,,N,Y,294,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1165
*,MQA/SP/0130/11,Skills Programme: Tailings Dam Operations,,28,2011-04-11 00:00:00.000,2015-04-15 00:00:00.000,,Standalone,,,0,,N,Y,295,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1258
*,MQA/SP/0131/11,Skills Programme : Secondary Sample Preparation in an Analytical Laboratory,,15,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,,Standalone,,,0,,N,Y,296,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:102
*,MQA/SP/0132/11,Skills Programme: Maintain a conveyor belt system in the mining and minerals sector,,31,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,,Standalone,,,3,,Y,Y,297,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:1256
*,MQA/SP/0133/12,Skills Programme: Operate Mobile Machinery for Surface Excavation Operations,,18,2012-05-15 00:00:00.000,2013-10-01 00:00:00.000,,Standalone,,,6,,N,Y,298,
*,MQA/SP/0134/12,Skills Programme: Lamproom Assistant,,34,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,,Standalone,,,4,,N,Y,299,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:873
*,MQA/SP/0135/12,Skills Programme: Lamproom Gas Bay Attendant,,19,2018-07-01 00:00:00.000,2026-06-30 23:59:59.000,,Standalone,,,3,,N,Y,300,ZZLkpOfoOccupation:ZZLkpOfoOccupation_id:873
