"AD_Org_ID[Name]","ZZMigrationCode/K","IsActive","ZZMigrateValues"
*,119,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:9;ZZUnitStandard:ZZUnitStandard_id:983;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,120,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:9;ZZUnitStandard:ZZUnitStandard_id:980;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,121,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:9;ZZUnitStandard:ZZUnitStandard_id:930;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,122,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:9;ZZUnitStandard:ZZUnitStandard_id:1075;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,123,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:9;ZZUnitStandard:ZZUnitStandard_id:981;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,124,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:9;ZZUnitStandard:ZZUnitStandard_id:695;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,125,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:9;ZZUnitStandard:ZZUnitStandard_id:919;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,126,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:9;ZZUnitStandard:ZZUnitStandard_id:761;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,127,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:9;ZZUnitStandard:ZZUnitStandard_id:770;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,128,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:9;ZZUnitStandard:ZZUnitStandard_id:996;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,129,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:9;ZZUnitStandard:ZZUnitStandard_id:1116;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,130,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:10;ZZUnitStandard:ZZUnitStandard_id:983;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,131,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:10;ZZUnitStandard:ZZUnitStandard_id:215;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,132,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:10;ZZUnitStandard:ZZUnitStandard_id:980;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,133,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:10;ZZUnitStandard:ZZUnitStandard_id:930;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,134,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:10;ZZUnitStandard:ZZUnitStandard_id:1075;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,135,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:10;ZZUnitStandard:ZZUnitStandard_id:981;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,136,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:10;ZZUnitStandard:ZZUnitStandard_id:695;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,137,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:10;ZZUnitStandard:ZZUnitStandard_id:919;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,138,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:10;ZZUnitStandard:ZZUnitStandard_id:439;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,139,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:10;ZZUnitStandard:ZZUnitStandard_id:216;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,140,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:10;ZZUnitStandard:ZZUnitStandard_id:217;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,141,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:10;ZZUnitStandard:ZZUnitStandard_id:761;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,142,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:10;ZZUnitStandard:ZZUnitStandard_id:770;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,143,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:10;ZZUnitStandard:ZZUnitStandard_id:996;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,144,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:10;ZZUnitStandard:ZZUnitStandard_id:1116;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,145,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:11;ZZUnitStandard:ZZUnitStandard_id:236;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,146,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:11;ZZUnitStandard:ZZUnitStandard_id:426;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,147,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:11;ZZUnitStandard:ZZUnitStandard_id:930;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,148,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:11;ZZUnitStandard:ZZUnitStandard_id:1138;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,149,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:11;ZZUnitStandard:ZZUnitStandard_id:981;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
*,150,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:11;ZZUnitStandard:ZZUnitStandard_id:212;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,151,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:11;ZZUnitStandard:ZZUnitStandard_id:213;ref:ZZLkpUnitStandardType:ZZUnitStandardType:3
*,152,Y,ZZSkillsProgramme:ZZSkillsProgramme_ID:12;ZZUnitStandard:ZZUnitStandard_id:736;ref:ZZLkpUnitStandardType:ZZUnitStandardType:1
