ID,SkillsProgrammeCode,SkillsProgrammeTitle,NQFLevelID,Credits,RegistrationStartDate,RegistrationEndDate,QualityAssuranceBodyID,SkillsProgrammeTypeID,QualificationID,AETLevelID,OFOOccupationID,MinimumElectiveCredits,SkillsProgrammeGrantTypeID,MigrationRecordID,DateCreated,CreatedBy,DateUpdated,UpdatedBy,IsDeleted,SysStartTime,SysEndTime,IsOHS
69,50063,Further Education and Training Certificate in  Occupational Safety (Version1),4,145,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,0,2,18,0,0,145,0,71,2022-12-12 13:31:20.827,1,2022-12-12 13:31:20.827,1,0,2022-12-12 11:31:20.8152536,9999-12-31 23:59:59.9999999,0
70,58248,National Certificate in Laboratory Practice,2,120,2007-06-27 00:00:00.000,2015-06-30 00:00:00.000,0,2,19,0,102,120,0,72,2022-12-12 13:31:20.827,1,2022-12-12 13:31:20.827,1,0,2022-12-12 11:31:20.8152536,9999-12-31 23:59:59.9999999,0
71,21811,National Certificate: Introduction to Mining and Minerals V2,1,120,2005-08-23 00:00:00.000,2008-08-23 00:00:00.000,0,2,23,0,0,14,0,73,2022-12-12 13:31:20.827,1,2022-12-12 13:31:20.827,1,0,2022-12-12 11:31:20.8152536,9999-12-31 23:59:59.9999999,0
72,35926,National Certificate in Payroll Administration Services,5,240,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,0,2,24,0,0,240,0,74,2022-12-12 13:31:20.827,1,2022-12-12 13:31:20.827,1,0,2022-12-12 11:31:20.8152536,9999-12-31 23:59:59.9999999,0
73,35926,National Certificate in Payroll Administration Services,5,240,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,0,2,24,0,0,120,0,75,2022-12-12 13:31:20.827,1,2022-12-12 13:31:20.827,1,0,2022-12-12 11:31:20.8152536,9999-12-31 23:59:59.9999999,0
74,22860,Further Education and Training Certificate in Autotronics,4,135,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,0,2,26,0,0,135,0,76,2022-12-12 13:31:20.827,1,2022-12-12 13:31:20.827,1,0,2022-12-12 11:31:20.8152536,9999-12-31 23:59:59.9999999,0
75,21854,Further Education and Training Certificate in Use of Firearms,4,155,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,0,2,36,0,0,155,0,77,2022-12-12 13:31:20.827,1,2022-12-12 13:31:20.827,1,0,2022-12-12 11:31:20.8152536,9999-12-31 23:59:59.9999999,0
76,13739,"Further Education and Training Certificate in Occupation-directed Education, Training and Development Practice",4,126,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,0,2,37,0,0,126,0,78,2022-12-12 13:31:20.827,1,2022-12-12 13:31:20.827,1,0,2022-12-12 11:31:20.8152536,9999-12-31 23:59:59.9999999,0
77,15541,National Certificate in Abet Practice,5,120,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,0,2,38,0,0,120,0,79,2022-12-12 13:31:20.827,1,2022-12-12 13:31:20.827,1,0,2022-12-12 11:31:20.8152536,9999-12-31 23:59:59.9999999,0
78,12037,National Certificate in Education: Training and Development,2,128,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,0,2,39,0,0,128,0,80,2022-12-12 13:31:20.827,1,2022-12-12 13:31:20.827,1,0,2022-12-12 11:31:20.8152536,9999-12-31 23:59:59.9999999,0
