AD_Org_ID[Name],Value,Name,ZZNqfLevel,ZZCredits,Registrationstartdate,Registrationenddate,ZZQualityAssuranceBody,ZZSkillsProgrammeType,ZZQualification_ID[Value],ZZAetLevel,ZZLkpOfoOccupation_ID[Value],ZZMinimumElectiveCredits,IsActive
*,22860,Further Education and Training Certificate in Autotronics,4,135,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,,2,22860,,,135,Y
*,21854,Further Education and Training Certificate in Use of Firearms,4,155,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,,2,21854,,,155,Y
*,13739,"Further Education and Training Certificate in Occupation-directed Education, Training and Development Practice",4,126,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,,2,13739,,,126,Y
*,15541,National Certificate in Abet Practice,5,120,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,,2,15541,,,120,Y
*,12037,National Certificate in Education: Training and Development,2,128,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,,2,12037,,,128,Y
*,49105,National Certificate Furniture Making Wood,3,122,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,,2,49105,,,122,Y
*,49092,Further Education and Training Certificate in Furniture Making Specialism,4,155,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,,2,49092,,,155,Y
*,23255,National Certificate Mechanical Engineering Fitting and Machining,3,174,2007-01-01 00:00:00.000,2015-06-30 00:00:00.000,,2,23255,,2021-653303,174,Y
*,49046,National Certificate in Lump Ore Beneficiation (L3),3,120,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,,2,49046,,,120,Y
*,49049,Further Education and Training Certificate in Lump Ore Beneficiation,4,135,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,,2,49049,,,135,Y
*,58186,National Certificate in Sulphuric Acid Production,3,134,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,,2,58186,,,134,Y
*,58226,National Certificate in Sulphuric Acid Production,2,166,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,,2,58226,,,166,Y
*,58228,Further Education and Training Certificate in Sulphuric Acid Production,4,146,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,,2,58228,,,146,Y
*,48972,National Certificate: Plant Production,1,120,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,,2,48972,,,120,Y
*,21839,National Certificate In Mining Operations Underground Hardrock Narrow Tabular (Version1),2,159,2002-06-12 00:00:00.000,2005-06-12 00:00:00.000,,2,21839,,,0,Y
*,21840,National Certificate in Rockbreaking Underground Hardrock Narrow Tabular (Version1),3,140,2002-06-12 00:00:00.000,2005-06-12 00:00:00.000,,2,21840,,,140,Y
*,14115,National Certificate in Fast Food Services,3,138,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,,2,14115,,,138,Y
*,48918,Further Education and Training Certificate in Measurement Control and Instrumentation,6,120,2007-01-01 00:00:00.000,2015-06-30 00:00:00.000,,2,48918,,2021-661101,120,Y
*,50309,Further Education and Training Certificate: Environmental Practice,4,140,2007-01-01 00:00:00.000,2010-01-01 00:00:00.000,,2,50309,,,140,Y
