ID,Description,Code,ProvinceID,DateCreated,CreatedBy,DateUpdated,UpdatedBy,IsDeleted
147,Adolf Hartman,106005142,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
148,Adolf Mhinga High,911360948,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
149,Adolph Schauder Primary School,200100016,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
150,Adolphina Creche,972201212,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
151,Adolphskraal,200100017,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
152,Adonia Pre-School,445202926,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
153,Adronica Mogaetsi Pre-Primary,971101431,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
154,Adullam Christian School,800029215,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
155,Advance Life Christian Academy,200200092,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
156,Advanced Learning Academy,100000330,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
157,Advent Comprehensive School,200501564,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
158,Advent Hope Christian School,500442779,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
159,Advisor Progressive College,800035502,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
160,Adzimmbambi Primary,930330190,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
161,Aerorand Primary School,800035505,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
162,Aeroville Secondary School,200100018,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
163,Affordable Preschool,700888033,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
164,Afm Lebone Day Care Centre,443611801,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
165,Africa House College,700122184,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
166,Africa International Private School,700400442,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
167,Africa Link International College,700400484,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
168,African Children's Choir,105008184,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
169,African Leadership Academy,700400286,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
170,African School For Excellence,700400694,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
171,African Union International,700400299,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
172,African Vision S,500442631,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
173,Afrikaanse  H/Skool Kroonstad,442506316,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
174,Afrikaanse  H/Skool Sasolburg,443611240,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
175,Afrikaanse Hoër Meisieskool,700230110,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
176,Afrikaanse Hoër Seunskool,700230128,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
177,Afrikaanse Hoërskool Germiston,700160119,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
178,Afrimat College,700400507,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
179,Afro-Kombs College,700131839,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
180,Aganang,300075002,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
181,Agang Thuto,300104020,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
182,Agang-Thuto Primary School,300044221,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
183,Agannang Pre S,971104502,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
184,Agap+ Kleuterland,139007594,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
185,Agape,445203150,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
186,Agape,971104201,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
187,Agape Christian School,700400050,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
188,Agapé Christian School,600100012,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
189,Agape Day Care Centre,973306127,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
190,Agape Daycare,445503317,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
191,Agape Kleuterskool,107008157,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
192,Agape Pre-School,800034511,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
193,Agape Primary School,700400093,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
194,Agapeskool,106494631,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
195,Agelelang Thuto Primary,600100013,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
196,Aggeneys Laerskool,300034301,0,2017-10-10 16:29:51.103,1,2017-10-10 16:29:51.103,1,0
