ID,Description,SAQACode,DateCreated,CreatedBy,DateUpdated,UpdatedBy,IsDeleted,SysStartTime,SysEndTime
140,Alexandra Ext 56,2011-798014022,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
141,Alexandra Ext 57,2011-798014023,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
142,Alexandra Ext 58,2011-798014024,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
143,Alexandra Ext 59,2011-798014011,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
144,Alexandra Ext 6,2011-798014058,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
145,Alexandra Ext 60,2011-798014012,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
146,Alexandra Ext 61,2011-798014013,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
147,Alexandra Ext 62,2011-798014014,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
148,Alexandra Ext 63,2011-798014015,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
149,Alexandra Ext 65,2011-798014016,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
150,Alexandra Ext 66,2011-798014017,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
151,Alexandra Ext 68,2011-798014018,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
152,Alexandra Ext 7,2011-798014075,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
153,Alexandra Ext 70,2011-798014041,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
154,Alexandra Ext 73,2011-798014042,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
155,Alexandra Ext 8,2011-798014059,2017-10-10 16:20:20.190,1,2017-10-10 16:20:20.190,1,0,2022-12-07 07:33:20.0576909,9999-12-31 23:59:59.9999999
